household_id,ea_id,saq01,saq14,pw_w4,adulteq,hh_size,food_cons_ann,nonfood_cons_ann,educ_cons_ann,fafh_cons_ann,utilities_cons_ann,total_cons_ann,nom_foodcons_aeq,nom_nonfoodcons_aeq,nom_educcons_aeq,nom_utilities_aeq,nom_totcons_aeq,spat_totcons_aeq,cons_quint
010601010100215268,010601010100215,TIGRAY,URBAN,2323.239910202045,0.7400000095367432,1,20709,3940,0,0,3240,27889,27985.134765625,5324.32421875,0,4378.37841796875,37687.8359375,38570.01171875,5
150101088802908013,150101088802908,DIRE DAWA,RURAL,38.90719315895372,4.759999752044678,6,114660,25960,16400,3900,2160,163080,24907.564453125,5453.78173828125,3445.37841796875,453.7815246582031,34260.5078125,35432.890625,5
060206088800904010,060206088800904,BENISHANGUL GUMUZ,RURAL,179.6017282010998,1.6800000667572021,2,53760.52880859375,2923,500,0,480,57663.52734375,32000.314453125,1739.880859375,297.6190490722656,285.7142639160156,34323.52734375,37903.1484375,5
150101088802010033,150101088802010,DIRE DAWA,RURAL,240.1339707536558,4.420000076293945,5,14622.447631835938,3924,1250,2340,0,22136.447265625,3837.65771484375,887.78277587890625,282.805419921875,0,5008.24609375,5179.62646484375,1
040212088800506137,040212088800506,OROMIA,RURAL,12467.55568934377,2.880000114440918,4,26148.199584960938,2825,0,0,1200,30173.19921875,9079.2353515625,980.9027099609375,0,416.6666564941406,10476.8046875,10910.65234375,2
120105088801201092,120105088801201,GAMBELA,RURAL,448.4861028976937,2.5799999237060547,3,55016,3984,0,0,0,59000,21324.03125,1544.18603515625,0,0,22868.216796875,23354.10546875,4
030707088800708033,030707088800708,AMHARA,RURAL,8377.81292749658,3.359999895095825,4,29973.8779296875,3936,0,728,0,34637.87890625,9137.4638671875,1171.4285888671875,0,0,10308.892578125,10328.3359375,2
070603010100105050,070603010100105,SNNP,URBAN,3183.842386831276,1.8600000143051147,2,26676,5680,5200,0,2640,40196,14341.935546875,3053.763427734375,2795.698974609375,1419.3548583984375,21610.751953125,23368.890625,4
140303010300329016,140303010300329,ADDIS ABABA,URBAN,1370.738225578103,2.380000114440918,3,67184,29500,1200,7800,5280,110964,31505.880859375,12394.95703125,504.20166015625,2218.4873046875,46623.52734375,44724,5
1405010105001130.a,140501010500113,ADDIS ABABA,URBAN,1130.653763322105,2.6399998664855957,3,65260,8804,80000,26000,10200,190264,34568.18359375,3334.8486328125,30303.03125,3863.636474609375,72069.703125,69133.453125,5
020203088800202097,020203088800202,AFAR,RURAL,458.3689655172413,6.25,9,25294.285888671875,5890,200,0,1200,32584.28515625,4047.085693359375,942.4000244140625,32,192,5213.48583984375,5031.19677734375,1
050901010100102036,050901010100102,SOMALI,URBAN,897.0236105476674,2.630000114440918,4,28548,10480,0,0,1800,40828,10854.751953125,3984.790771484375,0,684.41064453125,15523.9541015625,15217.501953125,3
010105088800712061,010105088800712,TIGRAY,RURAL,707.451149068323,4.579999923706055,6,39501.96533203125,4048,342,1872,780,46543.96484375,9033.6171875,883.84283447265625,74.67249298095703,170.30567932128906,10162.4375,10416.5634765625,2
060201088801903065,060201088801903,BENISHANGUL GUMUZ,RURAL,372.4597744360902,2.380000114440918,3,28470,2500,0,1560,240,32770,12617.646484375,1050.420166015625,0,100.84033203125,13768.9072265625,15204.875,3
130101088800107053,130101088800107,HARAR,RURAL,41.14158496732026,4.980000019073486,6,121992,21529,7560,0,1080,152161,24496.384765625,4323.09228515625,1518.072265625,216.86746215820312,30554.41796875,31077.990234375,5
150101088800302069,150101088800302,DIRE DAWA,RURAL,220.9928571428572,1.8199999332427979,2,21008,1856,0,0,0,22864,11542.857421875,1019.7802734375,0,0,12562.6376953125,12992.52734375,3
010704088800402008,010704088800402,TIGRAY,RURAL,1822.996803571429,7.319999694824219,8,31903.45196533203,7068,1100,7592,0,47663.453125,5395.5537109375,965.57379150390625,150.27322387695312,0,6511.40087890625,6674.2275390625,1
120106010100515060,120106010100515,GAMBELA,URBAN,133.5191061452514,5.259999752044678,6,68858.40000152588,19010,2300,0,10440,100608.3984375,13090.951171875,3614.068603515625,437.26239013671875,1984.791015625,19127.072265625,19372.642578125,4
060204020100105046,060204020100105,BENISHANGUL GUMUZ,URBAN,381.1509971509972,3.859999895095825,5,21781.882354736328,52280,40,4680,2580,81361.8828125,6855.41015625,13544.0419921875,10.36269474029541,668.393798828125,21078.208984375,22839.974609375,4
130108010100301174,130108010100301,HARAR,URBAN,128.2769639065818,0.8199999928474426,1,31356,2564,0,0,8520,42440,38239.0234375,3126.829345703125,0,10390.244140625,51756.09765625,51841.640625,5
140202010200210080,140202010200210,ADDIS ABABA,URBAN,1220.930769230769,4.449999809265137,6,17628,13880,5500,0,18000,55008,3961.348388671875,3119.101318359375,1235.955078125,4044.944091796875,12361.3486328125,11857.724609375,3
150101088802301104,150101088802301,DIRE DAWA,RURAL,280.1119654231119,4.039999961853027,5,78078.88671875,3872,0,3120,0,85070.890625,20098.734375,958.41583251953125,0,0,21057.150390625,21777.71875,4
071901088803902029,071901088803902,SNNP,RURAL,7600.891116352202,4.03000020980835,6,19814.036499023438,2970,0,1456,0,24240.037109375,5277.92431640625,736.97265625,0,0,6014.8974609375,6647.7802734375,1
031405010100309304,031405010100309,AMHARA,URBAN,5216.787015250545,2.890000104904175,4,38541.36000061035,9662,350,0,2064,50617.359375,13336.1103515625,3343.25244140625,121.10726165771484,714.18682861328125,17514.65625,18795.845703125,4
