"crop_code","unit_cd","mean_cf_nat","mean_cf1","mean_cf2","mean_cf3","mean_cf4","mean_cf6","mean_cf7","mean_cf12","mean_cf99","note"
1,1,1,1,1,1,1,1,1,1,1,
1,2,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,
1,3,100,100,100,100,100,100,100,100,100,
1,8,0.830999970436096,0.754999995231628,0.830999970436096,0.819999992847443,0.889999985694885,0.830999970436096,0.813000023365021,0.830999970436096,0.829999983310699,
1,21,25.2649993896484,25.5930004119873,24.2800006866455,25.2649993896484,25.2649993896484,25.2649993896484,25.2649993896484,25.2649993896484,25.2649993896484,
1,22,49.75,41.5,49.75,58,49.75,49.75,49.75,49.75,49.75,
1,31,0.122000001370907,0.122000001370907,0.122000001370907,0.122000001370907,0.122000001370907,0.122000001370907,0.122000001370907,0.122000001370907,0.122000001370907,
1,32,0.194999992847443,0.194999992847443,0.194999992847443,0.194999992847443,0.209999993443489,0.194999992847443,0.189999997615814,0.194999992847443,0.194999992847443,
1,33,0.233999997377396,0.233999997377396,0.233999997377396,0.233999997377396,0.233999997377396,0.233999997377396,0.233999997377396,0.233999997377396,0.233999997377396,
1,81,27.9309997558594,25.75,28.75,29.5629997253418,27.2290000915527,30.5,27.9309997558594,27.9309997558594,27.9309997558594,
1,82,57.4879989624023,49.5,53.6669998168945,56.7099990844727,64.8000030517578,57.4879989624023,61.5279998779297,57.4879989624023,57.4879989624023,
1,83,95.6719970703125,93.8000030517578,99.75,94.5,95.9000015258789,87.5,97.25,95.6719970703125,95.6719970703125,
1,92,20.8500003814697,20.8500003814697,20.8500003814697,20.8500003814697,20.8500003814697,20.8500003814697,20.8500003814697,20.8500003814697,20.8500003814697,
1,101,0.214000001549721,0.214000001549721,0.214000001549721,0.185000002384186,0.202999994158745,0.214000001549721,0.221000000834465,0.214000001549721,0.214000001549721,
1,102,0.291999995708466,0.330000013113022,0.254999995231628,0.254999995231628,0.291999995708466,0.291999995708466,0.277999997138977,0.291999995708466,0.291999995708466,
1,103,0.547999978065491,0.547999978065491,0.547999978065491,0.547999978065491,0.44200000166893,0.462999999523163,0.626999974250793,0.469999998807907,0.547999978065491,
1,111,4.8270001411438,4.13500022888184,4.75,5.3730001449585,5.23299980163574,4.8270001411438,4.8270001411438,4.8270001411438,4.8270001411438,
1,112,8.06799983978271,7.57499980926514,7.61999988555908,8.43000030517578,8.94499969482422,8.06799983978271,8.06799983978271,8.06799983978271,6.82000017166138,
1,113,20.5109996795654,22.0879993438721,24.4349994659424,20.5109996795654,20.5109996795654,20.5109996795654,20.5109996795654,20.5109996795654,20.5109996795654,
1,121,27.9309997558594,25.75,28.75,29.5629997253418,27.2290000915527,30.5,27.9309997558594,27.9309997558594,27.9309997558594,
1,122,57.4879989624023,49.5,53.6669998168945,56.7099990844727,64.8000030517578,57.4879989624023,61.5279998779297,57.4879989624023,57.4879989624023,
1,123,95.6719970703125,93.8000030517578,99.75,94.5,95.9000015258789,87.5,97.25,95.6719970703125,95.6719970703125,
1,151,0.689999997615814,0.689999997615814,0.689999997615814,0.689999997615814,0.689999997615814,0.689999997615814,0.689999997615814,0.689999997615814,0.689999997615814,"Used jog ratio for teff to estimate container CF"
1,152,1.11199998855591,1.11199998855591,1.11199998855591,1.11199998855591,1.11199998855591,1.11199998855591,1.11199998855591,1.11199998855591,1.11199998855591,"Used jog ratio for teff to estimate container CF"
1,153,1.85899996757507,1.85899996757507,1.85899996757507,1.85899996757507,1.85899996757507,1.85899996757507,1.85899996757507,1.85899996757507,1.85899996757507,"Used jog ratio for teff to estimate container CF"
1,171,0.0419999994337559,0.0419999994337559,0.0419999994337559,0.0419999994337559,0.0419999994337559,0.0419999994337559,0.0419999994337559,0.0419999994337559,0.0419999994337559,"Used jog ratio for teff to estimate container CF"
1,172,0.0719999969005585,0.0719999969005585,0.0719999969005585,0.0719999969005585,0.0719999969005585,0.0719999969005585,0.0719999969005585,0.0719999969005585,0.0719999969005585,"Used jog ratio for teff to estimate container CF"
1,181,0.34799998998642,0.280000001192093,0.34799998998642,0.36599999666214,0.34799998998642,0.280000001192093,0.34799998998642,0.34799998998642,0.34799998998642,
1,182,0.649999976158142,0.564999997615814,0.649999976158142,0.652999997138977,0.632000029087067,0.574999988079071,0.667999982833862,0.649999976158142,0.680000007152557,
1,183,0.912999987602234,1.01999998092651,1.03199994564056,0.991999983787537,0.912999987602234,0.912999987602234,0.824999988079071,0.912999987602234,0.785000026226044,
2,1,1,1,1,1,1,1,1,1,1,
2,2,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,
2,3,100,100,100,100,100,100,100,100,100,
2,8,0.987999975681305,0.910000026226044,0.987999975681305,1,0.998000025749207,0.987999975681305,1.00999999046326,0.987999975681305,0.970000028610229,
2,21,27.632999420166,27.2250003814697,28.4500007629395,27.632999420166,27.632999420166,27.632999420166,27.632999420166,27.632999420166,27.632999420166,
2,22,50.3330001831055,51.5,50.3330001831055,48,50.3330001831055,50.3330001831055,50.3330001831055,50.3330001831055,50.3330001831055,
2,31,0.160999998450279,0.160999998450279,0.160999998450279,0.160999998450279,0.160999998450279,0.160999998450279,0.160999998450279,0.160999998450279,0.160999998450279,
2,32,0.217999994754791,0.217999994754791,0.217999994754791,0.217999994754791,0.217999994754791,0.217999994754791,0.217999994754791,0.217999994754791,0.217999994754791,
