household_id,individual_id,bi2_hhm_new,bi3_hhm_stillm,bi4_hhm_gender,bi5_hhm_age,bi5_hhm_age_months,bi6_hhm_relhhh,bi6_hhm_relhhh_other,bi7_hhm_reas,bi7_hhm_reas_other,bi8_hhm_where,key,roster_key,submissiondate
010101088800910017,1,No,Yes,Female,41,,Head,,,,,uuid:70d2d05a-a36c-4833-9015-3f398819da4a,uuid:70d2d05a-a36c-4833-9015-3f398819da4a/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-08-11T19:27:17Z
010101088800910017,2,No,Yes,Female,23,,Son/Daughter,,,,,uuid:70d2d05a-a36c-4833-9015-3f398819da4a,uuid:70d2d05a-a36c-4833-9015-3f398819da4a/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-08-11T19:27:17Z
010101088800910017,3,No,Yes,Female,20,,Son/Daughter,,,,,uuid:70d2d05a-a36c-4833-9015-3f398819da4a,uuid:70d2d05a-a36c-4833-9015-3f398819da4a/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-08-11T19:27:17Z
010101088800910017,4,No,Yes,Male,18,,Son/Daughter,,,,,uuid:70d2d05a-a36c-4833-9015-3f398819da4a,uuid:70d2d05a-a36c-4833-9015-3f398819da4a/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-08-11T19:27:17Z
010101088800910017,5,No,Yes,Male,15,,Son/Daughter,,,,,uuid:70d2d05a-a36c-4833-9015-3f398819da4a,uuid:70d2d05a-a36c-4833-9015-3f398819da4a/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-08-11T19:27:17Z
010101088800910082,1,No,Yes,Male,33,,Head,,,,,uuid:4635bed9-8011-43f4-8bdb-2bc5bf473216,uuid:4635bed9-8011-43f4-8bdb-2bc5bf473216/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-08-14T00:14:50Z
010101088800910082,2,No,Yes,Female,27,,Spouse,,,,,uuid:4635bed9-8011-43f4-8bdb-2bc5bf473216,uuid:4635bed9-8011-43f4-8bdb-2bc5bf473216/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-08-14T00:14:50Z
010101088800910082,3,No,Yes,Female,6,,Son/Daughter,,,,,uuid:4635bed9-8011-43f4-8bdb-2bc5bf473216,uuid:4635bed9-8011-43f4-8bdb-2bc5bf473216/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-08-14T00:14:50Z
010101088800910082,4,No,Yes,Male,3,6,Son/Daughter,,,,,uuid:4635bed9-8011-43f4-8bdb-2bc5bf473216,uuid:4635bed9-8011-43f4-8bdb-2bc5bf473216/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-08-14T00:14:50Z
010101088800910082,5,No,Yes,Female,0,11,Son/Daughter,,,,,uuid:4635bed9-8011-43f4-8bdb-2bc5bf473216,uuid:4635bed9-8011-43f4-8bdb-2bc5bf473216/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-08-14T00:14:50Z
