household_id,individual_id,bi2_hhm_new,bi3_hhm_stillm,bi4_hhm_gender,bi5_hhm_age,bi5_hhm_age_months,bi6_hhm_relhhh,bi6_hhm_relhhh_other,bi7_hhm_reas,bi7_hhm_reas_other,bi8_hhm_where,key,roster_key,submissiondate
010101088800910082,1,No,Yes,Male,33,,Head,,,,,uuid:b0a76da7-d87e-47a1-9c23-f6677146b71e,uuid:b0a76da7-d87e-47a1-9c23-f6677146b71e/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-09-06T00:33:32Z
010101088800910082,2,No,Yes,Female,27,,Spouse,,,,,uuid:b0a76da7-d87e-47a1-9c23-f6677146b71e,uuid:b0a76da7-d87e-47a1-9c23-f6677146b71e/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-09-06T00:33:32Z
010101088800910082,3,No,Yes,Female,6,,Son/Daughter,,,,,uuid:b0a76da7-d87e-47a1-9c23-f6677146b71e,uuid:b0a76da7-d87e-47a1-9c23-f6677146b71e/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-09-06T00:33:32Z
010101088800910082,4,No,Yes,Male,3,6,Son/Daughter,,,,,uuid:b0a76da7-d87e-47a1-9c23-f6677146b71e,uuid:b0a76da7-d87e-47a1-9c23-f6677146b71e/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-09-06T00:33:32Z
010101088800910082,5,No,Yes,Female,0,11,Son/Daughter,,,,,uuid:b0a76da7-d87e-47a1-9c23-f6677146b71e,uuid:b0a76da7-d87e-47a1-9c23-f6677146b71e/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-09-06T00:33:32Z
010102088801010035,1,No,Yes,Female,26,,Head,,,,,uuid:b874dfdb-f99b-49c0-ad54-c98c878ef8af,uuid:b874dfdb-f99b-49c0-ad54-c98c878ef8af/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-08-24T19:00:14Z
010102088801010035,2,No,No,Female,10,,Son/Daughter,,,,,uuid:b874dfdb-f99b-49c0-ad54-c98c878ef8af,uuid:b874dfdb-f99b-49c0-ad54-c98c878ef8af/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-08-24T19:00:14Z
010102088801010090,1,No,Yes,Female,21,,Head,,,,,uuid:ae94cf86-2ba1-404f-9eec-1f137f2af7e9,uuid:ae94cf86-2ba1-404f-9eec-1f137f2af7e9/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-08-31T19:32:10Z
010102088801010104,1,No,Yes,Female,32,,Head,,,,,uuid:eb18e0d9-54e6-46ca-9d34-fb59177e7538,uuid:eb18e0d9-54e6-46ca-9d34-fb59177e7538/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-08-27T20:55:29Z
010102088801010104,2,No,Yes,Male,2,7,Son/Daughter,,,,,uuid:eb18e0d9-54e6-46ca-9d34-fb59177e7538,uuid:eb18e0d9-54e6-46ca-9d34-fb59177e7538/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-08-27T20:55:29Z
