household_id,individual_id,bi2_hhm_new,bi3_hhm_stillm,bi4_hhm_gender,bi5_hhm_age,bi5_hhm_age_months,bi6_hhm_relhhh,bi6_hhm_relhhh_other,bi7_hhm_reas,bi7_hhm_reas_other,bi8_hhm_where,key,roster_key,submissiondate
010101088800910017,1,No,Yes,Female,40,,1. Head,,,,,uuid:1f9f958c-c46a-4b86-ad50-01d98755498f,uuid:1f9f958c-c46a-4b86-ad50-01d98755498f/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-05-21T15:14:54Z
010101088800910017,2,No,Yes,Female,15,,3. Son/Daughter,,,,,uuid:1f9f958c-c46a-4b86-ad50-01d98755498f,uuid:1f9f958c-c46a-4b86-ad50-01d98755498f/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-05-21T15:14:54Z
010101088800910017,3,No,Yes,Female,10,,3. Son/Daughter,,,,,uuid:1f9f958c-c46a-4b86-ad50-01d98755498f,uuid:1f9f958c-c46a-4b86-ad50-01d98755498f/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-05-21T15:14:54Z
010101088800910017,4,No,Yes,Male,8,,3. Son/Daughter,,,,,uuid:1f9f958c-c46a-4b86-ad50-01d98755498f,uuid:1f9f958c-c46a-4b86-ad50-01d98755498f/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-05-21T15:14:54Z
010101088800910017,5,No,Yes,Male,5,,3. Son/Daughter,,,,,uuid:1f9f958c-c46a-4b86-ad50-01d98755498f,uuid:1f9f958c-c46a-4b86-ad50-01d98755498f/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-05-21T15:14:54Z
010101088800910029,1,No,Yes,Female,20,,1. Head,,,,,uuid:edccb6ff-b10a-4c8d-b896-c747b120d088,uuid:edccb6ff-b10a-4c8d-b896-c747b120d088/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-05-27T18:51:00Z
010101088800910029,2,No,Yes,Male,1,8,3. Son/Daughter,,,,,uuid:edccb6ff-b10a-4c8d-b896-c747b120d088,uuid:edccb6ff-b10a-4c8d-b896-c747b120d088/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-05-27T18:51:00Z
010101088800910054,1,No,Yes,Female,30,,1. Head,,,,,uuid:0abd3efb-5f87-44bd-93bb-c1e6faa94a33,uuid:0abd3efb-5f87-44bd-93bb-c1e6faa94a33/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-05-27T18:53:11Z
010101088800910054,2,No,Yes,Female,8,,3. Son/Daughter,,,,,uuid:0abd3efb-5f87-44bd-93bb-c1e6faa94a33,uuid:0abd3efb-5f87-44bd-93bb-c1e6faa94a33/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-05-27T18:53:11Z
010101088800910054,3,No,Yes,Male,2,8,3. Son/Daughter,,,,,uuid:0abd3efb-5f87-44bd-93bb-c1e6faa94a33,uuid:0abd3efb-5f87-44bd-93bb-c1e6faa94a33/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-05-27T18:53:11Z
010101088800910082,1,No,Yes,Male,33,,1. Head,,,,,uuid:8ae4e757-e998-4c59-8785-929883688295,uuid:8ae4e757-e998-4c59-8785-929883688295/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-05-27T18:53:11Z
