household_id,individual_id,bi2_hhm_new,bi3_hhm_stillm,bi4_hhm_gender,bi5_hhm_age,bi5_hhm_age_months,bi6_hhm_relhhh,bi6_hhm_relhhh_other,bi7_hhm_reas,bi7_hhm_reas_other,bi8_hhm_where,key,roster_key,submissiondate
140702010700258054,3,No,Yes,Female,19,,Son/Daughter,,,,,uuid:0016d34e-05ea-442f-8a97-62999803894b,uuid:0016d34e-05ea-442f-8a97-62999803894b/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-06-09T20:37:04Z
140702010700258054,6,No,Yes,Female,17,,Other Relative,Relative,,,,uuid:0016d34e-05ea-442f-8a97-62999803894b,uuid:0016d34e-05ea-442f-8a97-62999803894b/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[6],2020-06-09T20:37:04Z
140702010700258054,5,No,Yes,Female,7,,Son/Daughter,,,,,uuid:0016d34e-05ea-442f-8a97-62999803894b,uuid:0016d34e-05ea-442f-8a97-62999803894b/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-06-09T20:37:04Z
140702010700258054,2,No,Yes,Female,44,,Spouse,,,,,uuid:0016d34e-05ea-442f-8a97-62999803894b,uuid:0016d34e-05ea-442f-8a97-62999803894b/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-06-09T20:37:04Z
140702010700258054,1,No,Yes,Male,48,,Head,,,,,uuid:0016d34e-05ea-442f-8a97-62999803894b,uuid:0016d34e-05ea-442f-8a97-62999803894b/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-06-09T20:37:04Z
140702010700258054,4,No,Yes,Male,17,,Son/Daughter,,,,,uuid:0016d34e-05ea-442f-8a97-62999803894b,uuid:0016d34e-05ea-442f-8a97-62999803894b/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-06-09T20:37:04Z
031301088800401148,2,No,Yes,Female,25,,Spouse,,,,,uuid:0019053a-a8b4-48ba-b02b-9b9f619c5d4e,uuid:0019053a-a8b4-48ba-b02b-9b9f619c5d4e/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-06-05T19:01:01Z
031301088800401148,1,No,Yes,Male,30,,Head,,,,,uuid:0019053a-a8b4-48ba-b02b-9b9f619c5d4e,uuid:0019053a-a8b4-48ba-b02b-9b9f619c5d4e/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-06-05T19:01:01Z
031301088800401148,3,No,No,Male,97,,Father/Mother,,,,,uuid:0019053a-a8b4-48ba-b02b-9b9f619c5d4e,uuid:0019053a-a8b4-48ba-b02b-9b9f619c5d4e/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-06-05T19:01:01Z
031301088800401148,4,Yes,Yes,Female,0,0,Son/Daughter,,New Birth,,,uuid:0019053a-a8b4-48ba-b02b-9b9f619c5d4e,uuid:0019053a-a8b4-48ba-b02b-9b9f619c5d4e/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-06-05T19:01:01Z
150101010100117018,3,No,Yes,Female,30,,Son/Daughter,,,,,uuid:001edd9b-220d-41d7-87c5-a5aab92deebb,uuid:001edd9b-220d-41d7-87c5-a5aab92deebb/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-06-17T19:17:36Z
150101010100117018,4,No,Yes,Male,7,,Grandchild,,,,,uuid:001edd9b-220d-41d7-87c5-a5aab92deebb,uuid:001edd9b-220d-41d7-87c5-a5aab92deebb/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-06-17T19:17:36Z
150101010100117018,2,No,Yes,Female,9,,Grandchild,,,,,uuid:001edd9b-220d-41d7-87c5-a5aab92deebb,uuid:001edd9b-220d-41d7-87c5-a5aab92deebb/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-06-17T19:17:36Z
150101010100117018,1,No,Yes,Female,50,,Head,,,,,uuid:001edd9b-220d-41d7-87c5-a5aab92deebb,uuid:001edd9b-220d-41d7-87c5-a5aab92deebb/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-06-17T19:17:36Z
070309010100307099,2,No,Yes,Female,22,,Spouse,,,,,uuid:002604b1-8077-42bb-b76b-f5003027d3e7,uuid:002604b1-8077-42bb-b76b-f5003027d3e7/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-06-13T09:35:11Z
070309010100307099,5,No,Yes,Male,3,10,Son/Daughter,,,,,uuid:002604b1-8077-42bb-b76b-f5003027d3e7,uuid:002604b1-8077-42bb-b76b-f5003027d3e7/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-06-13T09:35:11Z
070309010100307099,6,No,Yes,Female,1,10,Son/Daughter,,,,,uuid:002604b1-8077-42bb-b76b-f5003027d3e7,uuid:002604b1-8077-42bb-b76b-f5003027d3e7/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[6],2020-06-13T09:35:11Z
070309010100307099,1,No,Yes,Male,35,,Head,,,,,uuid:002604b1-8077-42bb-b76b-f5003027d3e7,uuid:002604b1-8077-42bb-b76b-f5003027d3e7/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-06-13T09:35:11Z
070309010100307099,3,No,Yes,Female,15,,Sister/Brother,,,,,uuid:002604b1-8077-42bb-b76b-f5003027d3e7,uuid:002604b1-8077-42bb-b76b-f5003027d3e7/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-06-13T09:35:11Z
070309010100307099,4,No,Yes,Female,8,,Son/Daughter,,,,,uuid:002604b1-8077-42bb-b76b-f5003027d3e7,uuid:002604b1-8077-42bb-b76b-f5003027d3e7/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-06-13T09:35:11Z
140705010700528106,3,No,Yes,Female,29,,Son/Daughter,,,,,uuid:0040c9ac-1a5b-4d43-8499-3950fd574045,uuid:0040c9ac-1a5b-4d43-8499-3950fd574045/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-06-10T22:36:44Z
140705010700528106,5,No,Yes,Female,19,,Son/Daughter,,,,,uuid:0040c9ac-1a5b-4d43-8499-3950fd574045,uuid:0040c9ac-1a5b-4d43-8499-3950fd574045/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-06-10T22:36:44Z
