ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs2aq01,cs2aq02,cs2aq03,cs2aq04,cs2aq05,cs2aq06,cs2aq06_os,cs2aq07,cs2aq07_os,cs2aq08,cs2aq09,cs2aq10,cs2aq11
010308010100402,2. URBAN,1. TIGRAY,03,08,1,1,004,02,1. YES,1. YES,1. YES,1. YES,1. YES,4. Stone,,1. Corrugated iron sheet,,1. YES,1. YES,1. YES,1. YES
010309010100311,2. URBAN,1. TIGRAY,03,09,1,1,003,11,1. YES,1. YES,1. YES,1. YES,1. YES,6. Stone and cement,,1. Corrugated iron sheet,,2. NO,1. YES,1. YES,1. YES
010401088800209,1. RURAL,1. TIGRAY,04,01,8,88,002,09,2. NO,1. YES,2. NO,1. YES,2. NO,5. Stone and mud,,1. Corrugated iron sheet,,2. NO,1. YES,1. YES,2. NO
010401088801804,1. RURAL,1. TIGRAY,04,01,8,88,018,04,2. NO,2. NO,2. NO,1. YES,2. NO,5. Stone and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
010403088800201,1. RURAL,1. TIGRAY,04,03,8,88,002,01,2. NO,1. YES,2. NO,1. YES,2. NO,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,1. YES,1. YES,1. YES
010403088801801,1. RURAL,1. TIGRAY,04,03,8,88,018,01,1. YES,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,1. YES,2. NO,1. YES
010405010100123,2. URBAN,1. TIGRAY,04,05,1,1,001,23,1. YES,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
010405088800102,1. RURAL,1. TIGRAY,04,05,8,88,001,02,2. NO,1. YES,2. NO,1. YES,2. NO,5. Stone and mud,,3. Thatch,,2. NO,1. YES,1. YES,2. NO
010408010100204,2. URBAN,1. TIGRAY,04,08,1,1,002,04,1. YES,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,1. YES,1. YES,2. NO
010501088800902,1. RURAL,1. TIGRAY,05,01,8,88,009,02,1. YES,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,1. YES
010502020100102,2. URBAN,1. TIGRAY,05,02,2,1,001,02,1. YES,1. YES,1. YES,1. YES,1. YES,6. Stone and cement,,1. Corrugated iron sheet,,1. YES,1. YES,1. YES,1. YES
010502088801410,1. RURAL,1. TIGRAY,05,02,8,88,014,10,2. NO,1. YES,1. YES,1. YES,1. YES,5. Stone and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
010503088800803,1. RURAL,1. TIGRAY,05,03,8,88,008,03,2. NO,2. NO,1. YES,1. YES,2. NO,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
010601010100215,2. URBAN,1. TIGRAY,06,01,1,1,002,15,1. YES,1. YES,1. YES,1. YES,1. YES,"7. Blocks, plastered with cement",,1. Corrugated iron sheet,,1. YES,2. NO,,1. YES
010602010100216,2. URBAN,1. TIGRAY,06,02,1,1,002,16,1. YES,1. YES,1. YES,1. YES,1. YES,"7. Blocks, plastered with cement",,1. Corrugated iron sheet,,1. YES,2. NO,,2. NO
010604010100137,2. URBAN,1. TIGRAY,06,04,1,1,001,37,1. YES,1. YES,1. YES,1. YES,1. YES,"7. Blocks, plastered with cement",,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
010605010100313,2. URBAN,1. TIGRAY,06,05,1,1,003,13,1. YES,1. YES,1. YES,1. YES,1. YES,"7. Blocks, plastered with cement",,1. Corrugated iron sheet,,1. YES,1. YES,1. YES,1. YES
