ea_id,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq14,saq21
020205088800207,2. AFAR,02,05,8,88,002,07,1. RURAL,**CONFIDENTIAL**
020205088800715,2. AFAR,02,05,8,88,007,15,1. RURAL,**CONFIDENTIAL**
020206088800113,2. AFAR,02,06,8,88,001,13,1. RURAL,**CONFIDENTIAL**
020206088800803,2. AFAR,02,06,8,88,008,03,1. RURAL,**CONFIDENTIAL**
020206088801304,2. AFAR,02,06,8,88,013,04,1. RURAL,**CONFIDENTIAL**
020207010100104,2. AFAR,02,07,1,1,001,04,2. URBAN,**CONFIDENTIAL**
020301020100111,2. AFAR,03,01,2,1,001,11,2. URBAN,**CONFIDENTIAL**
020301088800303,2. AFAR,03,01,8,88,003,03,1. RURAL,**CONFIDENTIAL**
020302088800306,2. AFAR,03,02,8,88,003,06,1. RURAL,**CONFIDENTIAL**
020303020100103,2. AFAR,03,03,2,1,001,03,2. URBAN,**CONFIDENTIAL**
020303088800501,2. AFAR,03,03,8,88,005,01,1. RURAL,**CONFIDENTIAL**
020304088800703,2. AFAR,03,04,8,88,007,03,1. RURAL,**CONFIDENTIAL**
020305010100306,2. AFAR,03,05,1,1,003,06,2. URBAN,**CONFIDENTIAL**
020305010100601,2. AFAR,03,05,1,1,006,01,2. URBAN,**CONFIDENTIAL**
020306088800903,2. AFAR,03,06,8,88,009,03,1. RURAL,**CONFIDENTIAL**
020401088800602,2. AFAR,04,01,8,88,006,02,1. RURAL,**CONFIDENTIAL**
020403010100102,2. AFAR,04,03,1,1,001,02,2. URBAN,**CONFIDENTIAL**
020403088800302,2. AFAR,04,03,8,88,003,02,1. RURAL,**CONFIDENTIAL**
020404088800501,2. AFAR,04,04,8,88,005,01,1. RURAL,**CONFIDENTIAL**
020405088800405,2. AFAR,04,05,8,88,004,05,1. RURAL,**CONFIDENTIAL**
020501088800601,2. AFAR,05,01,8,88,006,01,1. RURAL,**CONFIDENTIAL**
020502088800303,2. AFAR,05,02,8,88,003,03,1. RURAL,**CONFIDENTIAL**
020502088801101,2. AFAR,05,02,8,88,011,01,1. RURAL,**CONFIDENTIAL**
020503010100101,2. AFAR,05,03,1,1,001,01,2. URBAN,**CONFIDENTIAL**
020504088800505,2. AFAR,05,04,8,88,005,05,1. RURAL,**CONFIDENTIAL**
020504088801102,2. AFAR,05,04,8,88,011,02,1. RURAL,**CONFIDENTIAL**
020601010100306,2. AFAR,06,01,1,1,003,06,2. URBAN,**CONFIDENTIAL**
020601010100330,2. AFAR,06,01,1,1,003,30,2. URBAN,**CONFIDENTIAL**
030103088803101,3. AMHARA,01,03,8,88,031,01,1. RURAL,**CONFIDENTIAL**
030106088801805,3. AMHARA,01,06,8,88,018,05,1. RURAL,**CONFIDENTIAL**
030202088802410,3. AMHARA,02,02,8,88,024,10,1. RURAL,**CONFIDENTIAL**
030206010100105,3. AMHARA,02,06,1,1,001,05,2. URBAN,**CONFIDENTIAL**
030206088800908,3. AMHARA,02,06,8,88,009,08,1. RURAL,**CONFIDENTIAL**
030209088803514,3. AMHARA,02,09,8,88,035,14,1. RURAL,**CONFIDENTIAL**
030214020100104,3. AMHARA,02,14,2,1,001,04,2. URBAN,**CONFIDENTIAL**
030303088800803,3. AMHARA,03,03,8,88,008,03,1. RURAL,**CONFIDENTIAL**
030307088802601,3. AMHARA,03,07,8,88,026,01,1. RURAL,**CONFIDENTIAL**
030309010100310,3. AMHARA,03,09,1,1,003,10,2. URBAN,**CONFIDENTIAL**
030312088800504,3. AMHARA,03,12,8,88,005,04,1. RURAL,**CONFIDENTIAL**
030401088801512,3. AMHARA,04,01,8,88,015,12,1. RURAL,**CONFIDENTIAL**
030404088801907,3. AMHARA,04,04,8,88,019,07,1. RURAL,**CONFIDENTIAL**
030409010100102,3. AMHARA,04,09,1,1,001,02,2. URBAN,**CONFIDENTIAL**
030409088800307,3. AMHARA,04,09,8,88,003,07,1. RURAL,**CONFIDENTIAL**
030412088800503,3. AMHARA,04,12,8,88,005,03,1. RURAL,**CONFIDENTIAL**
030416088801301,3. AMHARA,04,16,8,88,013,01,1. RURAL,**CONFIDENTIAL**
030421010100402,3. AMHARA,04,21,1,1,004,02,2. URBAN,**CONFIDENTIAL**
030505088800505,3. AMHARA,05,05,8,88,005,05,1. RURAL,**CONFIDENTIAL**
030512088800206,3. AMHARA,05,12,8,88,002,06,1. RURAL,**CONFIDENTIAL**
030519088801304,3. AMHARA,05,19,8,88,013,04,1. RURAL,**CONFIDENTIAL**
030526010100201,3. AMHARA,05,26,1,1,002,01,2. URBAN,**CONFIDENTIAL**
030602088802210,3. AMHARA,06,02,8,88,022,10,1. RURAL,**CONFIDENTIAL**
030606088800202,3. AMHARA,06,06,8,88,002,02,1. RURAL,**CONFIDENTIAL**
030610010100110,3. AMHARA,06,10,1,1,001,10,2. URBAN,**CONFIDENTIAL**
030610088800708,3. AMHARA,06,10,8,88,007,08,1. RURAL,**CONFIDENTIAL**
030614088801003,3. AMHARA,06,14,8,88,010,03,1. RURAL,**CONFIDENTIAL**
030616010100207,3. AMHARA,06,16,1,1,002,07,2. URBAN,**CONFIDENTIAL**
030701088800919,3. AMHARA,07,01,8,88,009,19,1. RURAL,**CONFIDENTIAL**
030703088802911,3. AMHARA,07,03,8,88,029,11,1. RURAL,**CONFIDENTIAL**
030706010100103,3. AMHARA,07,06,1,1,001,03,2. URBAN,**CONFIDENTIAL**
030707088800708,3. AMHARA,07,07,8,88,007,08,1. RURAL,**CONFIDENTIAL**
030710088801809,3. AMHARA,07,10,8,88,018,09,1. RURAL,**CONFIDENTIAL**
030714010100520,3. AMHARA,07,14,1,1,005,20,2. URBAN,**CONFIDENTIAL**
030803030100101,3. AMHARA,08,03,3,1,001,01,2. URBAN,**CONFIDENTIAL**
030803088802708,3. AMHARA,08,03,8,88,027,08,1. RURAL,**CONFIDENTIAL**
030808088800201,3. AMHARA,08,08,8,88,002,01,1. RURAL,**CONFIDENTIAL**
030902088800605,3. AMHARA,09,02,8,88,006,05,1. RURAL,**CONFIDENTIAL**
030906088802103,3. AMHARA,09,06,8,88,021,03,1. RURAL,**CONFIDENTIAL**
030910010100304,3. AMHARA,09,10,1,1,003,04,2. URBAN,**CONFIDENTIAL**
031002088801007,3. AMHARA,10,02,8,88,010,07,1. RURAL,**CONFIDENTIAL**
031004088801803,3. AMHARA,10,04,8,88,018,03,1. RURAL,**CONFIDENTIAL**
