ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs10q01,cs10q01_oth,cs10q04a,cs10q04b,cs10q04c,cs10q05__Latitude,cs10q05__Longitude,cs10q05__Accuracy,cs10q05__Altitude,cs10q05__Timestamp
030416088801301,1. RURAL,3. AMHARA,04,16,8,88,013,01,1. MARKETPLACE,,18,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030421010100402,2. URBAN,3. AMHARA,04,21,1,1,004,02,2. SHOPS/STALLS,,22,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030505088800505,1. RURAL,3. AMHARA,05,05,8,88,005,05,1. MARKETPLACE,,16,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030512088800206,1. RURAL,3. AMHARA,05,12,8,88,002,06,1. MARKETPLACE,,18,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030519088801304,1. RURAL,3. AMHARA,05,19,8,88,013,04,1. MARKETPLACE,,22,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030526010100201,2. URBAN,3. AMHARA,05,26,1,1,002,01,1. MARKETPLACE,,15,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030602088802210,1. RURAL,3. AMHARA,06,02,8,88,022,10,1. MARKETPLACE,,22,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030606088800202,1. RURAL,3. AMHARA,06,06,8,88,002,02,1. MARKETPLACE,,17,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030610010100110,2. URBAN,3. AMHARA,06,10,1,1,001,10,1. MARKETPLACE,,30,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030610088800708,1. RURAL,3. AMHARA,06,10,8,88,007,08,1. MARKETPLACE,,15,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030614088801003,1. RURAL,3. AMHARA,06,14,8,88,010,03,1. MARKETPLACE,,19,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030616010100207,2. URBAN,3. AMHARA,06,16,1,1,002,07,1. MARKETPLACE,,26,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030701088800919,1. RURAL,3. AMHARA,07,01,8,88,009,19,1. MARKETPLACE,,23,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030703088802911,1. RURAL,3. AMHARA,07,03,8,88,029,11,1. MARKETPLACE,,29,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030706010100103,2. URBAN,3. AMHARA,07,06,1,1,001,03,1. MARKETPLACE,,27,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030707088800708,1. RURAL,3. AMHARA,07,07,8,88,007,08,1. MARKETPLACE,,21,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030710088801809,1. RURAL,3. AMHARA,07,10,8,88,018,09,1. MARKETPLACE,,29,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030714010100520,2. URBAN,3. AMHARA,07,14,1,1,005,20,1. MARKETPLACE,,22,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030803030100101,2. URBAN,3. AMHARA,08,03,3,1,001,01,1. MARKETPLACE,,17,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030803088802708,1. RURAL,3. AMHARA,08,03,8,88,027,08,1. MARKETPLACE,,19,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030808088800201,1. RURAL,3. AMHARA,08,08,8,88,002,01,1. MARKETPLACE,,21,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030902088800605,1. RURAL,3. AMHARA,09,02,8,88,006,05,1. MARKETPLACE,,18,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030906088802103,1. RURAL,3. AMHARA,09,06,8,88,021,03,1. MARKETPLACE,,29,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030910010100304,2. URBAN,3. AMHARA,09,10,1,1,003,04,2. SHOPS/STALLS,,18,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031002088801007,1. RURAL,3. AMHARA,10,02,8,88,010,07,1. MARKETPLACE,,17,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031004088801803,1. RURAL,3. AMHARA,10,04,8,88,018,03,1. MARKETPLACE,,17,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031007010100107,2. URBAN,3. AMHARA,10,07,1,1,001,07,2. SHOPS/STALLS,,17,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031101088800314,1. RURAL,3. AMHARA,11,01,8,88,003,14,1. MARKETPLACE,,15,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031101088800715,1. RURAL,3. AMHARA,11,01,8,88,007,15,1. MARKETPLACE,,22,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031105010500201,2. URBAN,3. AMHARA,11,05,1,5,002,01,1. MARKETPLACE,,30,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031201088800105,1. RURAL,3. AMHARA,12,01,8,88,001,05,1. MARKETPLACE,,18,9. May,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031201088800502,1. RURAL,3. AMHARA,12,01,8,88,005,02,1. MARKETPLACE,,25,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031301088800101,1. RURAL,3. AMHARA,13,01,8,88,001,01,1. MARKETPLACE,,24,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031301088800401,1. RURAL,3. AMHARA,13,01,8,88,004,01,1. MARKETPLACE,,26,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031303010300223,2. URBAN,3. AMHARA,13,03,1,3,002,23,1. MARKETPLACE,,27,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031401088800203,1. RURAL,3. AMHARA,14,01,8,88,002,03,2. SHOPS/STALLS,,27,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031401088800709,1. RURAL,3. AMHARA,14,01,8,88,007,09,3. OTHER (SPECIFY),Ke Awakie Sewech,20,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031405010100309,2. URBAN,3. AMHARA,14,05,1,1,003,09,1. MARKETPLACE,,22,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031503088800107,1. RURAL,3. AMHARA,15,03,8,88,001,07,1. MARKETPLACE,,5,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031506010100103,2. URBAN,3. AMHARA,15,06,1,1,001,03,1. MARKETPLACE,,8,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031506088800509,1. RURAL,3. AMHARA,15,06,8,88,005,09,1. MARKETPLACE,,9,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031511088801109,1. RURAL,3. AMHARA,15,11,8,88,011,09,1. MARKETPLACE,,16,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031603088801008,1. RURAL,3. AMHARA,16,03,8,88,010,08,2. SHOPS/STALLS,,6,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031604088800605,1. RURAL,3. AMHARA,16,04,8,88,006,05,2. SHOPS/STALLS,,9,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
031605010100105,2. URBAN,3. AMHARA,16,05,1,1,001,05,1. MARKETPLACE,,15,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040116010100105,2. URBAN,4. OROMIA,01,16,1,1,001,05,2. SHOPS/STALLS,,21,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040203088800403,1. RURAL,4. OROMIA,02,03,8,88,004,03,1. MARKETPLACE,,24,10. June,2019,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040212088800506,1. RURAL,4. OROMIA,02,12,8,88,005,06,1. MARKETPLACE,,26,10. June,2019,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040302010100105,2. URBAN,4. OROMIA,03,02,1,1,001,05,1. MARKETPLACE,,21,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040302088801201,1. RURAL,4. OROMIA,03,02,8,88,012,01,1. MARKETPLACE,,24,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040310088800903,1. RURAL,4. OROMIA,03,10,8,88,009,03,1. MARKETPLACE,,14,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040403088803808,1. RURAL,4. OROMIA,04,03,8,88,038,08,1. MARKETPLACE,,16,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040409088801903,1. RURAL,4. OROMIA,04,09,8,88,019,03,1. MARKETPLACE,,22,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040416088800808,1. RURAL,4. OROMIA,04,16,8,88,008,08,1. MARKETPLACE,,17,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040417010100207,2. URBAN,4. OROMIA,04,17,1,1,002,07,2. SHOPS/STALLS,,18,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040502088800607,1. RURAL,4. OROMIA,05,02,8,88,006,07,1. MARKETPLACE,,30,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040511088800604,1. RURAL,4. OROMIA,05,11,8,88,006,04,1. MARKETPLACE,,25,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040521020100101,2. URBAN,4. OROMIA,05,21,2,1,001,01,2. SHOPS/STALLS,,10,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040601088802404,1. RURAL,4. OROMIA,06,01,8,88,024,04,1. MARKETPLACE,,30,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040606088801505,1. RURAL,4. OROMIA,06,06,8,88,015,05,1. MARKETPLACE,,30,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040702030100113,2. URBAN,4. OROMIA,07,02,3,1,001,13,3. OTHER (SPECIFY),Negdie,24,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040807010100204,2. URBAN,4. OROMIA,08,07,1,1,002,04,2. SHOPS/STALLS,,25,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040903010100103,2. URBAN,4. OROMIA,09,03,1,1,001,03,1. MARKETPLACE,,21,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040903088802905,1. RURAL,4. OROMIA,09,03,8,88,029,05,2. SHOPS/STALLS,,20,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040909088802804,1. RURAL,4. OROMIA,09,09,8,88,028,04,1. MARKETPLACE,,25,7. March,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
040913088802102,1. RURAL,4. OROMIA,09,13,8,88,021,02,1. MARKETPLACE,,29,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041001088801403,1. RURAL,4. OROMIA,10,01,8,88,014,03,2. SHOPS/STALLS,,29,10. June,2019,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041008088801110,1. RURAL,4. OROMIA,10,08,8,88,011,10,1. MARKETPLACE,,24,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041009010100207,2. URBAN,4. OROMIA,10,09,1,1,002,07,1. MARKETPLACE,,28,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041013088801410,1. RURAL,4. OROMIA,10,13,8,88,014,10,2. SHOPS/STALLS,,25,10. June,2019,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041109088800302,1. RURAL,4. OROMIA,11,09,8,88,003,02,1. MARKETPLACE,,19,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041112010100108,2. URBAN,4. OROMIA,11,12,1,1,001,08,1. MARKETPLACE,,25,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041117088800104,1. RURAL,4. OROMIA,11,17,8,88,001,04,1. MARKETPLACE,,17,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041207088800703,1. RURAL,4. OROMIA,12,07,8,88,007,03,1. MARKETPLACE,,29,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041212088800904,1. RURAL,4. OROMIA,12,12,8,88,009,04,1. MARKETPLACE,,21,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041303088803505,1. RURAL,4. OROMIA,13,03,8,88,035,05,1. MARKETPLACE,,10,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041310088801505,1. RURAL,4. OROMIA,13,10,8,88,015,05,2. SHOPS/STALLS,,25,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041401088802208,1. RURAL,4. OROMIA,14,01,8,88,022,08,1. MARKETPLACE,,5,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041402010100102,2. URBAN,4. OROMIA,14,02,1,1,001,02,2. SHOPS/STALLS,,26,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041407088800512,1. RURAL,4. OROMIA,14,07,8,88,005,12,1. MARKETPLACE,,8,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041502088800405,1. RURAL,4. OROMIA,15,02,8,88,004,05,1. MARKETPLACE,,19,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041506088800605,1. RURAL,4. OROMIA,15,06,8,88,006,05,1. MARKETPLACE,,18,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041602020100103,2. URBAN,4. OROMIA,16,02,2,1,001,03,1. MARKETPLACE,,11,10. June,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041602088800902,1. RURAL,4. OROMIA,16,02,8,88,009,02,1. MARKETPLACE,,28,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041606088800702,1. RURAL,4. OROMIA,16,06,8,88,007,02,2. SHOPS/STALLS,,7,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041701088800105,1. RURAL,4. OROMIA,17,01,8,88,001,05,1. MARKETPLACE,,22,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041704088803702,1. RURAL,4. OROMIA,17,04,8,88,037,02,1. MARKETPLACE,,22,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041709088800509,1. RURAL,4. OROMIA,17,09,8,88,005,09,1. MARKETPLACE,,22,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041801088800702,1. RURAL,4. OROMIA,18,01,8,88,007,02,2. SHOPS/STALLS,,21,10. June,2019,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041803010100206,2. URBAN,4. OROMIA,18,03,1,1,002,06,2. SHOPS/STALLS,,27,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041805088802106,1. RURAL,4. OROMIA,18,05,8,88,021,06,2. SHOPS/STALLS,,22,10. June,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041907088801302,1. RURAL,4. OROMIA,19,07,8,88,013,02,1. MARKETPLACE,,29,10. June,2019,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
041911088801308,1. RURAL,4. OROMIA,19,11,8,88,013,08,1. MARKETPLACE,,25,10. June,2019,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
042002088802503,1. RURAL,4. OROMIA,20,02,8,88,025,03,1. MARKETPLACE,,26,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
042007088801902,1. RURAL,4. OROMIA,20,07,8,88,019,02,1. MARKETPLACE,,15,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
042101010101005,2. URBAN,4. OROMIA,21,01,1,1,010,05,3. OTHER (SPECIFY),Gebeyana ena Suki,20,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
042101010501435,2. URBAN,4. OROMIA,21,01,1,5,014,35,2. SHOPS/STALLS,,26,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
042323010101103,2. URBAN,4. OROMIA,23,23,1,1,011,03,3. OTHER (SPECIFY),Gebeyana Suki,24,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
042424010100685,2. URBAN,4. OROMIA,24,24,1,1,006,85,2. SHOPS/STALLS,,29,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
042828010100624,2. URBAN,4. OROMIA,28,28,1,1,006,24,1. MARKETPLACE,,18,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
043030010100345,2. URBAN,4. OROMIA,30,30,1,1,003,45,2. SHOPS/STALLS,,7,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
043131010100723,2. URBAN,4. OROMIA,31,31,1,1,007,23,3. OTHER (SPECIFY),kmahabrsabu abalat,18,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
043535010100252,2. URBAN,4. OROMIA,35,35,1,1,002,52,1. MARKETPLACE,,22,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
050102010100102,2. URBAN,5. SOMALI,01,02,1,1,001,02,2. SHOPS/STALLS,,16,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
050103088801103,1. RURAL,5. SOMALI,01,03,8,88,011,03,2. SHOPS/STALLS,,27,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
050109088800301,1. RURAL,5. SOMALI,01,09,8,88,003,01,2. SHOPS/STALLS,,28,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
050202088801303,1. RURAL,5. SOMALI,02,02,8,88,013,03,1. MARKETPLACE,,30,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
050205030100101,2. URBAN,5. SOMALI,02,05,3,1,001,01,1. MARKETPLACE,,28,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
050205088802405,1. RURAL,5. SOMALI,02,05,8,88,024,05,1. MARKETPLACE,,29,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
050206088801407,1. RURAL,5. SOMALI,02,06,8,88,014,07,2. SHOPS/STALLS,,25,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
050207088800806,1. RURAL,5. SOMALI,02,07,8,88,008,06,2. SHOPS/STALLS,,21,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
050212010100806,2. URBAN,5. SOMALI,02,12,1,1,008,06,1. MARKETPLACE,,28,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
050212010101601,2. URBAN,5. SOMALI,02,12,1,1,016,01,1. MARKETPLACE,,20,9. May,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
050212010101923,2. URBAN,5. SOMALI,02,12,1,1,019,23,1. MARKETPLACE,,28,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
050212010102805,2. URBAN,5. SOMALI,02,12,1,1,028,05,1. MARKETPLACE,,28,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
